"","X28959_8_2.genes.results","X28959_8_3.genes.results","X28959_8_5.genes.results","X28959_8_6.genes.results","X28959_8_8.genes.results","X28959_8_9.genes.results","X28959_8_10.genes.results","X28959_8_11.genes.results","X28959_8_12.genes.results","X28959_8_19.genes.results","X28959_8_20.genes.results","X28959_8_21.genes.results","X28959_8_22.genes.results","X28959_8_23.genes.results","X28959_8_25.genes.results","X28959_8_26.genes.results","X28959_8_30.genes.results","X28959_8_33.genes.results","X28959_8_34.genes.results","X28959_8_35.genes.results","X28959_8_36.genes.results","X28959_8_43.genes.results","X28959_8_44.genes.results","X28959_8_45.genes.results","X28959_8_47.genes.results","X28959_8_48.genes.results","X28959_8_49.genes.results","X28959_8_50.genes.results","X28959_8_52.genes.results","X28959_8_53.genes.results","X28959_8_55.genes.results","X28959_8_57.genes.results","X28959_8_58.genes.results","X28959_8_60.genes.results","X28959_8_67.genes.results","X28959_8_68.genes.results","X28959_8_69.genes.results","X28959_8_70.genes.results","X28959_8_71.genes.results","X28959_8_72.genes.results","X28959_8_73.genes.results","X28959_8_74.genes.results","X28959_8_76.genes.results","X28959_8_77.genes.results","X28959_8_78.genes.results","X28959_8_79.genes.results","X28959_8_80.genes.results","X28959_8_81.genes.results","X28959_8_82.genes.results","X28959_8_83.genes.results","X28959_8_91.genes.results","X28959_8_92.genes.results","X28959_8_93.genes.results","X28959_8_94.genes.results","X28959_8_95.genes.results","X28959_8_96.genes.results","X28959_8_97.genes.results","X28959_8_98.genes.results","X28959_8_99.genes.results","X28959_8_101.genes.results","X28959_8_103.genes.results","X28959_8_106.genes.results","X28959_8_107.genes.results","X28959_8_108.genes.results","X28959_8_115.genes.results","X28959_8_116.genes.results","X28959_8_117.genes.results","X28959_8_118.genes.results","X28959_8_122.genes.results","X28959_8_123.genes.results","X28959_8_124.genes.results","X28959_8_125.genes.results","X28959_8_126.genes.results","X28959_8_128.genes.results","X28959_8_129.genes.results","X28959_8_130.genes.results","X28959_8_131.genes.results","X28959_8_132.genes.results","X28959_8_140.genes.results","X28959_8_141.genes.results","X28959_8_142.genes.results","X28959_8_143.genes.results","X28959_8_144.genes.results","X28959_8_145.genes.results","X28959_8_146.genes.results","X28959_8_147.genes.results","X28959_8_149.genes.results","X28959_8_150.genes.results","X28959_8_151.genes.results","X28959_8_152.genes.results","X28959_8_153.genes.results","X28959_8_154.genes.results","X28959_8_155.genes.results","X28959_8_163.genes.results","X28959_8_164.genes.results","X28959_8_165.genes.results","X28959_8_166.genes.results","X28959_8_167.genes.results","X28959_8_168.genes.results","X28959_8_169.genes.results","X28959_8_170.genes.results","X28959_8_171.genes.results","X28959_8_172.genes.results","X28959_8_176.genes.results","X28959_8_177.genes.results","X28959_8_178.genes.results","X28959_8_179.genes.results","X28959_8_180.genes.results","X28959_8_187.genes.results","X28959_8_189.genes.results","X28959_8_190.genes.results","X28959_8_191.genes.results","X28959_8_194.genes.results","X28959_8_197.genes.results","X28959_8_199.genes.results","X28959_8_200.genes.results","X28959_8_201.genes.results","X28959_8_203.genes.results","X28959_8_204.genes.results","X28959_8_209.genes.results","X28959_8_210.genes.results","X28959_8_211.genes.results","X28959_8_212.genes.results","X28959_8_213.genes.results","X28959_8_214.genes.results","X28959_8_218.genes.results","X28959_8_219.genes.results","X28959_8_226.genes.results","X28959_8_228.genes.results","X28959_8_229.genes.results","X28959_8_230.genes.results","X28959_8_231.genes.results","X28959_8_232.genes.results","X28959_8_233.genes.results","X28959_8_234.genes.results","X28959_8_236.genes.results","X28959_8_237.genes.results","X28959_8_239.genes.results","X28959_8_241.genes.results","X28959_8_242.genes.results","X28959_8_243.genes.results","X28959_8_246.genes.results","X28959_8_248.genes.results","X28959_8_249.genes.results","X28959_8_251.genes.results","X28959_8_252.genes.results","X28959_8_253.genes.results","X28959_8_256.genes.results","X28959_8_258.genes.results","X28959_8_259.genes.results","X28959_8_261.genes.results","X28959_8_265.genes.results","X28959_8_266.genes.results","X28959_8_269.genes.results","X28959_8_272.genes.results","X28959_8_273.genes.results","X28959_8_276.genes.results","X28959_8_277.genes.results","X28959_8_278.genes.results","X28959_8_283.genes.results","X28959_8_285.genes.results","X28959_8_286.genes.results","X28959_8_288.genes.results","X28959_8_290.genes.results","X28959_8_292.genes.results","X29784_4_2.genes.results","X29784_4_3.genes.results","X29784_4_5.genes.results","X29784_4_6.genes.results","X29784_4_7.genes.results","X29784_4_8.genes.results","X29784_4_9.genes.results","X29784_4_10.genes.results","X29784_4_11.genes.results","X29784_4_14.genes.results","X29784_4_15.genes.results","X29784_4_16.genes.results","X29784_4_17.genes.results","X29784_4_18.genes.results","X29784_4_20.genes.results","X29784_4_21.genes.results","X29784_4_22.genes.results","X29784_4_23.genes.results","X29784_4_25.genes.results","X29784_4_26.genes.results","X29784_4_27.genes.results","X29784_4_28.genes.results","X29784_4_29.genes.results","X29784_4_30.genes.results","X29784_4_31.genes.results","X29784_4_32.genes.results","X29784_4_33.genes.results","X29784_4_34.genes.results","X29784_4_35.genes.results","X29784_4_37.genes.results","X29784_4_38.genes.results","X29784_4_39.genes.results","X29784_4_40.genes.results","X29784_4_41.genes.results","X29784_4_42.genes.results","X29784_4_43.genes.results","X29784_4_44.genes.results","X29784_4_45.genes.results","X29784_4_46.genes.results","X29784_4_47.genes.results","X29784_4_48.genes.results","X29784_4_49.genes.results","X29784_4_50.genes.results","X29784_4_51.genes.results","X29784_4_52.genes.results","X29784_4_53.genes.results","X29784_4_54.genes.results","X29784_4_55.genes.results","X29784_4_56.genes.results","X29784_4_57.genes.results","X29784_4_58.genes.results","X29784_4_59.genes.results","X29784_4_60.genes.results","X29784_4_61.genes.results","X29784_4_63.genes.results","X29784_4_64.genes.results","X29784_4_65.genes.results","X29784_4_66.genes.results","X29784_4_67.genes.results","X29784_4_68.genes.results","X29784_4_69.genes.results","X29784_4_71.genes.results","X29784_4_72.genes.results","X29784_4_74.genes.results","X29784_4_76.genes.results","X29784_4_77.genes.results","X29784_4_78.genes.results","X29784_4_79.genes.results","X29784_4_80.genes.results","X29784_4_81.genes.results","X29784_4_82.genes.results","X29784_4_83.genes.results","X29784_4_84.genes.results","X29784_4_87.genes.results","X29784_4_88.genes.results","X29784_4_89.genes.results","X29784_4_90.genes.results","X29784_4_91.genes.results","X29784_4_92.genes.results","X29784_4_93.genes.results","X29784_4_94.genes.results","X29784_4_95.genes.results","X29784_4_96.genes.results","X29784_4_98.genes.results","X29784_4_99.genes.results","X29784_4_101.genes.results","X29784_4_102.genes.results","X29784_4_103.genes.results","X29784_4_104.genes.results","X29784_4_105.genes.results","X29784_4_106.genes.results","X29784_4_107.genes.results","X29784_4_108.genes.results","X29784_4_110.genes.results","X29784_4_112.genes.results","X29784_4_113.genes.results","X29784_4_114.genes.results","X29784_4_115.genes.results","X29784_4_116.genes.results","X29784_4_117.genes.results","X29784_4_118.genes.results","X29784_4_119.genes.results","X29784_4_120.genes.results","X29784_4_121.genes.results","X29784_4_122.genes.results","X29784_4_123.genes.results","X29784_4_124.genes.results","X29784_4_125.genes.results","X29784_4_126.genes.results","X29784_4_127.genes.results","X29784_4_128.genes.results","X29784_4_129.genes.results","X29784_4_131.genes.results","X29784_4_132.genes.results","X29784_4_133.genes.results","X29784_4_135.genes.results","X29784_4_136.genes.results","X29784_4_137.genes.results","X29784_4_139.genes.results","X29784_4_141.genes.results","X29784_4_142.genes.results","X29784_4_143.genes.results","X29784_4_144.genes.results","X29784_4_145.genes.results","X29784_4_147.genes.results","X29784_4_148.genes.results","X29784_4_149.genes.results","X29784_4_150.genes.results","X29784_4_151.genes.results","X29784_4_154.genes.results","X29784_4_155.genes.results","X29784_4_156.genes.results","X29784_4_157.genes.results","X29784_4_159.genes.results","X29784_4_161.genes.results","X29784_4_162.genes.results","X29784_4_163.genes.results","X29784_4_164.genes.results","X29784_4_165.genes.results","X29784_4_167.genes.results","X29784_4_168.genes.results","X29784_4_169.genes.results","X29784_4_172.genes.results","X29784_4_174.genes.results","X29784_4_178.genes.results","X29784_4_179.genes.results","X29784_4_190.genes.results","X29784_4_191.genes.results","X29784_4_194.genes.results","X29784_4_195.genes.results","X29784_4_196.genes.results","X29784_4_197.genes.results","X29784_4_198.genes.results","X29784_4_199.genes.results","X29784_4_201.genes.results","X29784_4_202.genes.results","X29784_4_203.genes.results","X29784_4_204.genes.results","X29784_4_217.genes.results","X29784_4_218.genes.results","X29784_4_219.genes.results","X29784_4_220.genes.results","X29784_4_221.genes.results","X29784_4_222.genes.results","X29784_4_223.genes.results","X29784_4_225.genes.results","X29784_4_226.genes.results","X29784_4_227.genes.results","X29784_4_228.genes.results","X29784_4_241.genes.results","X29784_4_242.genes.results","X29784_4_243.genes.results","X29784_4_244.genes.results","X29784_4_245.genes.results","X29784_4_246.genes.results","X29784_4_247.genes.results","X29784_4_248.genes.results","X29784_4_249.genes.results","X29784_4_250.genes.results","X29784_4_251.genes.results","X29784_4_252.genes.results","X29784_4_265.genes.results","X29784_4_266.genes.results","X29784_4_267.genes.results","X29784_4_268.genes.results","X29784_4_269.genes.results","X29784_4_270.genes.results","X29784_4_271.genes.results","X29784_4_272.genes.results","X29784_4_273.genes.results","X29784_4_274.genes.results","X29784_4_275.genes.results","X29784_4_276.genes.results","X29784_4_289.genes.results","X29784_4_290.genes.results","X29784_4_291.genes.results","X29784_4_292.genes.results","X29784_4_294.genes.results","X29784_4_295.genes.results","X29784_4_297.genes.results","X29784_4_298.genes.results","X29784_4_299.genes.results","X29784_4_300.genes.results","X29784_4_313.genes.results","X29784_4_314.genes.results","X29784_4_316.genes.results","X29784_4_319.genes.results","X29784_4_320.genes.results","X29784_4_321.genes.results","X29784_4_322.genes.results","X29784_4_323.genes.results","X29784_4_324.genes.results","X29784_4_337.genes.results","X29784_4_338.genes.results","X29784_4_340.genes.results","X29784_4_342.genes.results","X29784_4_348.genes.results","X29784_4_361.genes.results","X29784_4_362.genes.results","X29784_4_364.genes.results","X29784_4_365.genes.results","X29784_4_367.genes.results","X29784_4_369.genes.results"
"TRINITY_DN1222_c0_g1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,0,9,0,0,1,0,0,0,1,0,0,14716,3,4,2,0,4,2,16137,6,9604,208810,1,4,6,1,4,3,5,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,17834,0,0,1,0,0,0,0,27730,1635,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,2,0,0,0,0,0,0,3,0,0,15,0,4,150,0,0,0,0,2,0,0,0,0,0,0
"TRINITY_DN13046_c0_g1g2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4503,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,3,1,0,0,43057,0,2,0,0,68076,0,3130,0,0,0,0,0,21080,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18914,0,0,14,0,0,0,0,5504,0,0,0,0,0,0,0,0,0,0
"TRINITY_DN13046_c1_g2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13830,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14618,1,1,2,0,17805,1,0,1,0,30649,1,3,2.07,2,1,1,0,0,0,10162,3.87,0,0,1,1,0,1,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8957,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,5737,0,0,1
"TRINITY_DN143_c0_g1g2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,1,0,0,0,0,0,0,1,2,1,4,2,7,50805,3,0,0,1,6,164387,2,3,0,1,2,3,2,0,0,0,0,5700,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,1,0,0,0,1,0,0,8365,0,0,0,0,1,0,0,0,0,11351,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_DN16022_c0_g1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,44,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_DN16709_c0_g1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_DN18105_c1_g1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,2775,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,791,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"TRINITY_DN21891_c0_g1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.99,0,2,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2861,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,71860,0,0,0,0,0,1,4,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_DN26789_c0_g1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_DN28824_c0_g1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_DN9452_c0_g1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
